age_of_head,building_id,children,household_id,income,persons,puma,tenure,workers
48,721249,0,1113314,84000,1,11501,1,1
43,552138,0,274140,19600,2,11603,2,2
89,150694,0,961032,33500,1,11615,2,0
24,577595,0,84595,33600,1,11801,2,1
21,60863,2,789172,24000,4,11611,2,1
46,1162457,1,1425769,79000,4,11701,2,2
41,989056,0,1554753,155000,1,11706,1,1
22,839934,1,1118886,50850,4,11501,1,2
39,531930,0,322715,208000,1,11603,2,1
74,809949,0,1239917,18800,1,11506,2,0
66,565299,0,757,19200,1,11802,1,0
31,537474,0,510032,84000,2,11607,2,1
72,659380,0,1038798,45500,2,11502,1,0
67,636347,0,99840,78000,2,11801,1,1
51,558480,0,7394,59650,2,11802,2,1
49,587911,0,47499,87000,2,11802,1,2
50,1012930,2,1601726,82204,6,11706,1,1
36,684521,0,1151157,2500,2,11504,2,1
38,532689,0,772333,43000,1,11611,2,1
72,853201,0,1136333,30500,3,11504,1,0
47,19184,3,658524,207100,5,11609,2,2
66,567587,0,43833,95900,2,11802,1,0
30,539732,1,900972,22900,2,11613,2,1
51,28124,2,946200,114100,5,11615,1,3
46,716052,0,1215037,40000,1,11507,1,1
64,168164,0,951141,63700,3,11615,1,2
63,233160,0,112770,265000,2,11602,1,2
32,517007,3,955550,20000,5,11615,2,1
27,548948,0,796841,36600,1,11611,2,0
30,793492,0,1116877,27000,2,11501,2,1
45,555990,0,548371,33000,1,11616,1,1
47,539350,0,318171,8800,1,11603,2,0
49,721558,0,1112996,83000,2,11501,2,2
30,1182394,2,1535290,140000,5,11705,1,2
53,1155364,0,1503737,150000,1,11704,1,1
31,539823,0,332542,110000,2,11604,2,2
76,817169,0,1207631,14400,2,11507,1,0
54,105943,1,193339,141300,4,11601,1,3
55,54507,0,943226,101000,2,11615,1,1
47,197187,1,540409,307000,4,11607,1,1
52,683322,0,1168793,15600,1,11504,2,0
48,139064,0,190178,135000,1,11601,2,1
28,539460,0,868903,28000,2,11613,2,1
38,896389,2,997987,155000,4,11505,1,2
33,318491,1,777085,158000,3,11611,1,2
22,530552,0,286526,0,1,11603,2,0
62,463726,0,563359,44000,3,11616,2,2
31,554807,0,304149,48900,2,11603,2,2
65,552906,0,419536,74300,2,11605,2,2
35,322728,1,189360,215000,3,11601,1,2
53,954624,0,1411353,262420,2,11701,1,2
78,554536,0,619212,224380,2,11608,1,0
50,796630,0,1170973,0,1,11504,2,0
63,675718,0,1072043,193610,2,11502,1,0
59,622479,0,52324,49000,2,11801,1,1
82,514867,0,900885,23500,1,11613,2,0
39,186281,0,335312,114000,1,11604,1,1
59,354634,0,209825,154800,3,11601,1,2
57,752055,0,1270069,34100,2,11503,2,0
61,338396,0,723173,125200,2,11610,1,1
30,530583,0,238702,225000,2,11603,2,2
46,185044,1,981754,281700,4,11615,1,2
77,520251,0,943599,15350,1,11615,2,0
66,218937,0,477027,65400,2,11606,1,0
42,1017895,2,1336260,67900,6,11703,1,4
50,550766,1,334487,8610,2,11604,2,0
61,501794,0,958530,108200,3,11615,1,3
32,682912,2,1157441,20000,4,11504,2,1
46,67975,0,853517,115400,3,11612,1,3
64,721471,0,1112185,53900,2,11501,1,0
21,554179,0,140933,300,1,11602,2,0
54,139896,0,512484,36800,2,11607,2,1
63,527397,0,403058,88000,1,11605,1,1
30,547533,1,284219,151600,3,11603,2,1
40,868380,2,1198043,79300,4,11507,1,2
37,522657,0,313237,22000,1,11603,2,0
34,27408,2,206949,140000,4,11601,1,2
51,546796,0,140664,10500,1,11602,2,0
41,520776,0,328163,82900,2,11604,2,2
31,521832,0,144730,0,1,11602,2,0
53,875273,2,1048174,96400,4,11502,1,2
49,269715,1,502593,295220,3,11607,1,2
56,246756,0,679794,107500,2,11609,2,2
64,400812,0,917596,75300,2,11614,1,0
33,513841,0,172609,79000,1,11601,2,1
62,19317,0,432857,76000,2,11605,1,0
45,1162457,0,1425224,43600,1,11701,2,1
88,811115,0,1153583,45450,2,11504,1,0
25,517453,0,301716,108100,1,11603,2,1
62,754818,0,1221686,45200,1,11506,1,1
49,575251,1,68573,200000,3,11801,2,1
72,704606,0,992352,22700,2,11505,2,0
53,1124214,2,1585141,72880,5,11706,1,4
47,281983,0,392413,12000,1,11605,2,1
55,697804,0,1206871,192900,3,11507,1,1
51,539831,0,797230,100000,2,11611,2,1
42,399882,1,882043,116600,4,11613,2,3
38,237977,3,874276,172300,6,11613,1,3
65,122631,0,420513,9060,1,11605,2,0
33,845180,0,1294291,96000,2,11503,1,2
61,1189970,0,1507491,72700,2,11705,1,2
35,1088127,2,1510105,178000,4,11705,1,2
32,690446,3,1178846,222820,9,11504,1,5
40,1032630,0,1558109,39000,1,11706,2,1
75,602472,0,64567,95800,4,11801,1,2
71,386530,1,390012,54501,5,11605,1,2
24,556105,0,490697,46000,2,11607,2,2
41,619490,3,71994,30000,5,11801,1,1
64,1006741,0,1390016,160000,1,11702,2,1
60,361071,0,652797,354400,2,11609,1,2
20,548515,0,122635,300,2,11602,2,0
47,845435,1,1295253,90800,3,11503,1,1
64,539989,0,749581,49000,1,11610,1,0
58,962039,0,1347986,84000,3,11703,1,2
75,140967,0,959752,8000,1,11615,3,0
46,432687,0,816804,130001,2,11612,1,2
78,499233,0,459469,334000,2,11606,1,0
68,280682,0,681850,18000,1,11609,1,1
31,1117444,0,1446890,220000,3,11701,1,3
56,915850,0,1060856,24000,3,11502,1,1
43,345401,0,670123,593000,2,11609,1,2
50,364125,1,900669,103200,5,11613,1,2
61,1080580,0,1532210,91050,1,11705,1,1
31,968775,0,1594940,124500,2,11706,1,2
26,695052,2,1195544,65700,5,11507,2,2
66,272901,0,813362,75800,2,11612,1,0
22,690318,1,1172367,12600,2,11504,2,1
50,313318,3,187342,166250,4,11601,1,1
54,548128,0,205654,144150,4,11601,1,2
60,162821,1,193411,79400,13,11601,1,3
46,982867,2,1518033,43000,5,11705,2,2
51,324364,0,958508,140000,3,11615,1,2
43,132231,2,910386,52000,4,11614,1,2
70,517124,0,620228,235500,1,11608,1,0
44,518439,2,469538,175050,5,11606,1,2
53,76664,0,552602,150900,3,11616,1,2
58,337565,0,609740,234000,2,11608,1,2
43,512371,2,198089,21700,5,11601,2,1
76,223322,1,703061,75100,3,11609,1,1
46,1168343,0,1501440,139000,5,11704,1,3
34,555727,0,823629,100300,1,11612,2,1
31,1062616,0,1399426,155000,2,11702,1,2
68,671053,0,1033689,40550,1,11502,1,0
39,1146443,1,1394137,34100,2,11702,2,0
56,289708,0,950075,126600,2,11615,1,2
52,670886,0,1077590,170300,3,11502,1,3
58,61432,0,622516,122000,2,11608,1,2
51,1107990,0,1578947,174800,1,11706,1,1
40,784360,0,1165349,17000,2,11504,2,0
57,1080761,0,1567564,233000,2,11706,1,2
59,541545,0,720456,65000,1,11610,2,1
61,1170614,0,1323921,17800,2,11703,2,0
42,1020504,0,1482594,135000,1,11704,1,1
73,909513,0,1034334,20900,1,11502,1,0
39,516299,0,745512,81050,1,11610,2,1
49,342263,1,576697,122700,4,11616,1,2
32,1141249,1,1557429,94000,4,11706,1,2
88,1173029,0,1359728,32500,1,11702,2,0
49,102595,1,631879,149000,4,11608,1,1
38,302195,2,546323,149450,4,11607,1,0
41,530552,0,286023,150000,1,11603,1,1
85,551883,0,417064,62500,3,11605,1,1
74,596810,0,79320,30450,1,11801,1,0
63,804736,0,1083528,84800,2,11501,1,1
30,1082731,0,1456910,110000,1,11704,1,1
84,1044603,0,1582803,56208,2,11706,1,0
56,477756,0,341224,60000,1,11604,2,1
42,622923,2,64650,159500,4,11801,1,2
31,1121467,0,1385239,25000,1,11702,2,1
33,83717,0,371178,490600,2,11604,1,2
59,40699,0,644294,429400,2,11608,1,2
43,554214,0,320146,28000,1,11603,2,1
77,533800,0,269822,15600,1,11603,2,0
42,682934,3,1157516,18600,5,11504,2,1
31,519740,1,793759,50200,3,11611,2,1
87,527923,0,566589,73700,1,11616,2,0
55,43816,0,260075,284000,2,11603,1,2
24,33187,1,747005,54800,4,11610,2,1
45,956455,4,1406317,285600,15,11702,2,6
51,1182676,0,1519853,83400,2,11705,1,1
58,116585,0,612350,21700,1,11608,1,0
32,817364,2,1200259,33000,4,11507,1,2
68,113775,0,559474,118800,3,11616,1,1
30,522657,0,312711,110000,1,11603,2,1
56,1150124,1,1468048,210000,2,11704,1,1
79,588511,0,48367,64800,1,11802,2,0
32,754337,4,1127910,0,5,11501,2,0
84,761970,0,1277523,64720,2,11503,1,0
31,543518,0,235327,109000,1,11603,2,1
21,533317,0,523712,30004,1,11607,2,1
33,280025,0,345896,87180,1,11604,2,1
89,548163,0,852492,7500,1,11612,2,0
66,763533,0,1231040,35200,2,11506,1,1
53,682949,1,1157241,86830,3,11504,2,2
30,562064,1,15446,93000,4,11802,2,2
56,442998,0,115649,42000,1,11602,2,1
42,793615,2,1130927,173000,4,11501,1,2
54,556897,0,443751,104000,1,11606,1,1
86,489470,1,610498,199900,4,11608,1,2
33,541488,0,331616,87180,1,11604,2,1
66,1183362,0,1518990,41200,2,11705,1,0
52,835808,0,1201379,144000,2,11507,1,2
33,670319,1,1067974,70000,3,11502,1,1
28,199490,0,424331,250000,2,11605,1,2
37,286245,1,226661,102000,3,11601,1,1
59,323752,1,357128,128500,6,11604,1,3
31,528440,0,227003,163180,2,11601,1,2
55,432116,0,815561,220050,2,11612,1,2
60,111225,0,258766,477000,3,11603,1,1
48,343187,2,573883,159000,4,11616,1,2
63,800702,0,1034951,53200,1,11502,1,1
55,1170597,0,1365830,40000,1,11702,2,1
44,954130,0,1481367,10000,1,11704,2,1
47,670120,0,1124399,36900,1,11501,1,1
33,861391,0,1009317,180000,2,11505,1,2
56,790218,0,1156233,76000,2,11504,2,2
59,572490,0,93853,35000,1,11801,2,1
38,1036988,0,1444496,76400,2,11701,2,2
59,714616,1,1017850,40700,2,11505,3,1
72,818192,0,1250369,28000,1,11506,1,0
67,841321,0,1167650,38700,2,11504,2,0
58,478903,0,333345,18840,3,11604,1,1
65,235103,0,643353,101000,3,11608,1,2
48,673742,0,1273479,49900,3,11503,2,2
73,37367,0,421936,68700,2,11605,2,0
38,407966,3,407996,66000,5,11605,2,1
94,1053275,0,1406398,22700,1,11702,2,0
67,683322,0,1168880,106600,2,11504,1,1
37,295888,1,782176,52600,3,11611,2,2
61,1146675,0,1551655,64000,3,11705,1,2
32,783173,1,1188348,104000,4,11507,1,2
51,1036950,0,1444455,54000,2,11701,1,2
94,483376,0,550799,19000,1,11616,1,0
52,436432,2,669460,242500,4,11609,1,0
25,555460,0,511811,140000,2,11607,2,2
62,276621,0,694576,105000,2,11609,1,1
32,545275,1,302710,65000,3,11603,2,1
32,1062155,0,1478652,103600,2,11704,2,2
43,56993,5,784999,31000,10,11611,2,2
52,913523,0,1269930,176000,2,11503,1,2
29,475428,0,681651,158870,2,11609,2,2
47,662570,0,1046857,400,1,11502,1,0
76,285285,0,800720,39700,3,11611,1,1
83,77861,0,691602,126850,2,11609,1,2
32,504133,0,176517,161000,2,11601,1,1
30,190887,2,399158,115000,4,11605,1,1
27,370594,0,536863,150000,2,11607,1,2
74,244030,0,822275,56200,2,11612,1,0
44,971761,2,1597875,110900,4,11706,2,2
52,148815,0,765172,184200,3,11611,1,3
40,188677,1,635668,95000,3,11608,1,1
72,11750,0,385993,44400,2,11605,1,0
57,899929,0,1022761,101000,2,11505,1,2
30,373894,0,956022,115000,1,11615,1,1
67,990690,0,1568071,68170,2,11706,1,0
72,1106641,0,1333852,91400,2,11703,1,0
63,672108,0,1045250,54000,1,11502,1,0
37,916873,4,1301065,190000,6,11503,2,1
24,518844,0,354017,146000,3,11604,2,3
61,966401,0,1472953,214600,3,11704,1,3
41,690218,0,1289422,85000,1,11503,2,1
48,73266,2,343150,513000,4,11604,1,2
37,954972,0,1456396,272000,3,11701,1,2
51,1149132,0,1391774,125000,1,11702,1,1
45,1150485,2,1503240,473600,4,11704,1,1
57,1099746,0,1498955,505000,2,11704,1,2
34,704357,3,1002431,59100,5,11505,2,2
42,673172,2,1285459,85000,4,11503,2,2
48,346236,0,405981,135000,2,11605,1,2
56,29920,0,459712,129500,1,11606,1,1
60,668748,0,1298572,494000,2,11503,1,1
29,388661,0,897784,120000,1,11613,1,1
67,293705,0,155263,96100,1,11602,1,1
8,544455,1,181874,-1,1,11602,2,0
53,818078,0,1258521,105000,1,11506,2,1
23,550724,0,406497,24000,1,11605,2,1
43,1111092,0,1463959,114000,4,11704,1,2
61,251839,0,771977,289000,2,11611,1,1
43,394474,2,728221,98000,4,11610,1,1
81,172558,0,844146,34000,1,11612,1,0
54,402709,0,908883,77000,5,11614,1,2
51,1192876,2,1563264,165080,4,11706,1,2
31,173288,1,883485,25000,3,11613,2,1
78,1027062,0,1444947,1400,1,11701,2,0
23,519280,0,237492,34000,1,11603,2,1
80,555341,0,671060,261000,1,11609,1,0
32,812985,1,1166508,27600,2,11504,2,1
72,616609,0,47928,99200,1,11802,1,0
47,18961,0,552501,84001,2,11616,1,2
46,1030118,1,1425781,79000,4,11701,2,2
59,505855,0,477496,73700,2,11606,1,2
60,468788,0,216070,100000,2,11601,1,2
41,642754,0,81635,76000,2,11801,1,1
68,1079260,1,1561963,20800,3,11706,1,1
47,910071,3,1244783,73800,5,11506,1,1
89,533595,0,172709,20000,1,11601,2,0
68,483411,0,370167,45370,1,11604,2,1
28,830713,0,1260140,89800,3,11506,2,2
29,663279,0,1058117,220010,2,11502,1,2
56,521362,0,122841,152000,4,11602,1,3
27,1007316,0,1604493,154000,2,11706,1,2
48,514756,0,606268,174000,2,11608,2,2
41,668063,2,1192142,240000,4,11507,1,1
86,1048516,0,1369592,48100,1,11702,2,0
57,489730,4,976878,221300,11,11615,1,5
49,994160,1,1354791,38700,5,11703,1,2
48,1170619,0,1323946,39000,2,11703,2,1
90,176022,0,672262,38400,1,11609,1,0
47,722824,0,1267828,138000,2,11506,1,2
44,1197988,0,1587338,135000,2,11706,1,2
61,956249,0,1396635,138000,3,11702,2,3
31,565656,0,36752,80100,1,11802,2,1
65,555228,0,487894,61000,1,11607,1,0
33,529357,0,829699,72000,1,11612,2,1
31,517428,0,122526,137120,2,11602,2,2
68,442834,0,712496,99050,4,11610,2,1
26,668755,0,1298383,30000,1,11503,2,1
51,877135,0,1111719,57600,2,11501,1,1
59,524709,0,287121,250000,2,11603,1,2
62,518973,0,446404,12000,1,11606,2,0
56,719414,0,1128272,9900,1,11501,2,0
80,1068101,0,1538718,10200,1,11705,1,0
80,509641,0,554925,26200,1,11616,2,0
30,961276,2,1318944,51500,5,11703,2,2
48,719848,0,1082710,2000,1,11501,2,0
38,521789,1,918836,151000,3,11614,1,2
66,297751,0,952466,121400,3,11615,1,2
33,73658,2,582522,356000,4,11616,1,2
26,811749,1,1288263,50000,3,11503,2,2
51,280392,0,910295,135800,3,11614,1,3
25,544959,0,440803,20000,1,11606,2,0
21,987203,1,1594117,64000,3,11706,2,1
65,899426,0,1164399,42000,2,11504,1,1
30,899317,0,1163372,4800,1,11504,2,1
33,829602,1,1251849,77000,3,11506,2,1
70,145589,0,771836,53500,1,11611,1,1
59,551427,0,627293,217000,2,11608,1,0
57,66090,0,567688,190000,2,11616,1,2
49,209778,0,707402,49200,2,11610,1,1
81,821303,0,1249609,8400,1,11506,1,0
82,706769,0,1242131,22900,2,11506,1,0
63,76508,0,375959,55800,2,11604,1,2
42,540062,0,824548,85500,2,11612,2,2
26,603459,3,35048,24100,5,11802,2,1
63,68684,0,904464,115000,2,11614,1,2
61,681081,0,1186030,82000,2,11507,1,2
58,492543,0,543338,176000,3,11607,1,2
59,336285,0,547735,573000,3,11607,1,2
47,593284,1,86081,59000,2,11801,1,1
35,25847,3,789196,46000,5,11611,1,1
50,337828,0,969217,105000,3,11615,1,1
68,672120,0,1045193,40550,1,11502,1,0
38,523386,0,975536,78000,3,11615,2,3
43,826839,0,1242003,195000,2,11506,1,2
47,1090631,6,1407045,89020,12,11702,1,1
62,889512,0,1287016,84000,1,11503,1,1
35,511282,0,275105,115000,1,11603,2,1
64,712805,1,1181062,116700,4,11507,1,1
45,448357,1,508025,181000,2,11607,1,1
75,152658,0,218393,97400,2,11601,1,0
51,473646,0,436369,127000,2,11605,1,2
37,537498,0,292775,249000,1,11603,2,1
76,1027015,0,1514234,29000,2,11705,1,0
51,962043,0,1347654,30000,1,11703,2,1
80,874320,0,1272335,222530,2,11503,1,1
42,563956,0,61129,173000,3,11801,1,3
54,65464,2,709000,163000,4,11610,1,2
40,168989,2,686971,120100,4,11609,1,1
29,534171,0,365023,36000,1,11604,2,0
25,376018,0,955660,33000,2,11615,3,2
69,632882,0,56689,22400,2,11801,1,0
42,1076010,2,1541906,114000,3,11705,1,1
55,174460,0,672200,55000,1,11609,1,1
33,1160417,1,1431245,104200,3,11701,1,2
31,527633,1,907367,111000,3,11614,1,2
77,818165,0,1250733,85200,2,11506,1,0
48,849715,0,1114815,29000,3,11501,2,1
55,586228,0,581,279000,3,11802,1,3
33,476573,3,863659,68000,5,11613,1,1
61,838695,0,1028351,475000,2,11505,1,1
71,674462,0,1036139,105600,2,11502,1,0
66,256552,0,705775,209900,4,11610,1,2
57,347247,0,372062,238451,3,11604,1,1
42,103993,2,873397,104000,5,11613,1,3
40,358681,0,225041,0,1,11601,1,0
58,151367,0,610809,91000,2,11608,1,1
63,977599,0,1358580,40400,1,11703,1,0
21,18685,0,112427,138300,3,11602,2,0
40,408102,2,135446,191000,4,11602,1,2
67,228987,0,689075,77600,1,11609,1,0
42,722998,1,1267941,115060,4,11506,1,3
36,308357,0,931898,69900,4,11614,1,3
52,201846,1,678999,68000,3,11609,1,1
28,556175,0,530858,36000,1,11607,2,1
36,1131053,1,1485542,70000,2,11704,2,1
61,969063,0,1320810,356200,2,11703,1,0
26,1069307,0,1347926,94000,2,11703,2,2
29,548005,2,243620,14530,3,11603,2,1
27,543660,1,197927,19300,2,11601,2,1
41,135258,2,416688,138000,5,11605,1,1
44,766907,0,1046675,255040,3,11502,1,2
30,645832,1,23788,93000,4,11802,2,2
84,178084,0,477831,12500,1,11606,1,0
52,549895,0,427067,107000,1,11605,1,0
63,894100,0,1096773,47000,2,11501,1,1
70,624776,2,74177,28300,4,11801,2,0
26,97039,0,218293,151100,1,11601,2,1
23,394601,0,456548,61100,2,11606,2,2
63,556695,0,521615,121000,2,11607,1,2
38,856875,0,1183347,80400,2,11507,1,1
65,138707,0,780516,78100,2,11611,1,1
46,555703,0,596978,110000,1,11608,2,1
42,1009262,4,1479655,414300,6,11704,1,1
35,837633,1,1248126,59000,5,11506,2,2
27,755409,0,1298543,493000,2,11503,1,2
75,417217,0,812024,303100,2,11612,1,0
33,718110,1,1097553,60000,2,11501,2,1
47,1063382,1,1391619,131500,3,11702,1,2
52,195448,0,925644,61200,2,11614,1,1
54,1142948,0,1503968,150000,2,11704,1,2
63,1108928,0,1594494,124200,3,11706,1,1
56,554862,0,735543,63000,1,11610,2,1
57,733373,0,1250001,108300,3,11506,1,3
31,538019,1,412409,114000,3,11605,2,2
55,27034,0,815626,70000,2,11612,1,1
42,804911,2,1255826,50000,4,11506,1,1
58,191835,0,485477,153404,3,11606,1,2
64,609433,0,17012,54100,2,11802,1,0
72,851363,0,1296019,26800,1,11503,2,0
25,707834,2,1243551,27000,4,11506,2,1
30,764109,0,1261078,80000,2,11506,1,2
39,823999,2,1266058,110000,4,11506,1,1
54,90820,0,368830,12300,2,11604,2,2
37,884921,4,1120045,41000,6,11501,2,2
63,717795,0,1079561,38100,1,11501,2,0
46,547996,2,855363,29700,4,11612,2,2
50,1151328,2,1571697,119000,4,11706,1,1
61,514649,0,765915,37900,1,11611,2,1
40,1170597,1,1366097,61400,3,11702,2,3
49,1007158,1,1355161,55000,2,11703,2,1
79,140204,0,438265,26400,2,11605,3,0
52,953578,1,1386673,88800,3,11702,1,2
47,539671,0,143491,36000,1,11602,2,1
52,41452,0,683186,151000,2,11609,1,1
53,607314,0,44001,121600,3,11802,2,2
58,449364,0,761117,153000,2,11611,1,2
68,707660,8,1013023,113110,12,11505,1,3
42,548851,12,908066,53000,16,11614,2,1
31,701586,0,1227321,40000,1,11506,2,1
86,1013922,0,1429843,50950,2,11701,2,0
51,555761,0,494222,60000,1,11607,1,1
52,711166,0,1203382,124000,2,11507,1,2
47,1006400,0,1391219,74000,3,11702,2,3
73,554304,0,629972,49400,1,11608,1,0
65,160323,0,820038,233300,3,11612,1,2
39,555109,0,220641,145000,1,11601,1,1
71,756644,0,1293756,61250,2,11503,1,0
62,516892,0,479182,148200,3,11606,1,3
61,183021,0,104217,117000,3,11602,1,2
60,13382,0,514593,152300,3,11607,1,1
64,795608,0,1032008,88200,2,11502,1,1
86,512388,0,418607,87600,1,11605,2,0
55,1104147,0,1392140,175500,3,11702,1,2
28,671032,0,1033804,15000,1,11502,2,1
35,169892,1,374354,245000,4,11604,2,2
38,463084,1,594614,171400,3,11608,1,1
28,556453,0,502126,36000,1,11607,2,1
35,123140,3,789714,50000,5,11611,2,1
80,653766,0,60179,62400,1,11801,1,0
56,554279,0,620014,50000,2,11608,2,2
70,75018,0,472426,154000,2,11606,1,1
36,636635,1,72374,70000,2,11801,2,1
64,956326,0,1377259,53000,4,11702,2,3
28,120971,0,626297,78000,2,11608,2,1
55,965481,0,1332309,8700,1,11703,1,0
38,534733,0,233967,24000,1,11603,2,1
44,47694,3,591174,156000,5,11608,2,1
51,530278,0,262986,106000,2,11603,2,2
64,434596,0,684221,40000,1,11609,2,1
48,166506,1,114547,121800,3,11602,1,1
28,524326,0,127423,98000,2,11602,2,2
26,541021,0,648414,10400,4,11608,2,3
58,121968,0,965471,74710,2,11615,1,2
42,889061,2,1113226,32900,5,11501,1,2
59,1061493,0,1462563,76000,1,11704,1,1
55,516658,0,648263,113500,3,11608,2,3
62,541007,0,767832,115700,5,11611,2,3
50,2994,2,526997,187000,4,11607,1,2
67,712110,0,1179690,66520,2,11507,1,1
68,1161357,0,1427593,2100,1,11701,2,0
45,1171244,1,1523493,69000,4,11705,1,2
58,952915,0,1373418,65000,2,11702,1,1
85,1049055,0,1480688,30000,1,11704,2,0
36,761716,0,1040284,93000,1,11502,2,1
53,409451,2,439998,41100,4,11606,1,1
75,816049,0,1256351,13600,3,11506,1,0
36,150136,2,980711,93000,4,11615,2,2
53,386495,1,426496,164900,4,11605,1,2
56,1128484,0,1505699,39750,3,11705,2,2
48,413961,0,190637,467000,1,11601,1,1
84,915650,0,1279336,33200,2,11503,1,0
78,740604,0,1292679,68900,2,11503,1,1
64,758047,1,1072264,103400,4,11502,1,1
47,321530,0,220729,60020,1,11601,2,1
63,296104,0,413877,27200,2,11605,1,1
41,285982,2,929667,88000,4,11614,2,2
69,819984,0,1263137,66700,2,11506,1,0
58,69332,0,592085,225000,2,11608,1,1
71,1199038,0,1601950,65200,2,11706,1,0
44,253092,0,166585,158000,3,11601,1,2
40,556653,0,753809,163500,2,11610,2,2
66,556734,0,145916,99500,2,11602,1,1
75,607972,5,14451,107860,11,11802,1,1
62,281068,0,732011,176500,3,11610,1,3
70,1177910,0,1514582,70200,2,11705,1,2
80,448209,0,222275,105000,3,11601,1,2
47,687631,0,1086844,12000,1,11501,2,0
40,283288,0,361561,112520,4,11604,2,3
27,232486,2,954487,114000,4,11615,1,2
39,841092,1,1245126,8000,2,11506,2,0
60,302629,0,712812,112910,3,11610,1,1
65,717746,0,1187898,82400,2,11507,1,0
58,839135,0,1223151,92000,2,11506,2,2
73,774723,0,1243859,118500,2,11506,1,1
46,1126842,0,1528551,182000,3,11705,1,2
60,1091565,1,1571197,114900,6,11706,2,4
27,513102,0,257249,175000,2,11603,2,2
54,199557,0,717273,94600,2,11610,1,1
36,1179640,2,1345466,52000,6,11703,1,2
72,723948,0,994229,57000,2,11505,3,0
45,1169642,1,1529612,74000,4,11705,1,2
58,285475,0,729931,170900,4,11610,1,1
45,892176,2,1063787,28200,4,11502,2,2
29,1008684,1,1355299,144600,4,11703,1,3
65,726141,0,1000358,17700,1,11505,1,0
48,518848,0,274632,92000,1,11603,1,1
77,676910,0,1078781,279100,2,11502,1,0
25,525238,0,714363,48070,2,11610,2,2
26,366255,0,160891,12260,1,11601,2,1
77,554902,0,497833,10000,1,11607,1,0
57,511559,0,777456,24000,1,11611,2,1
68,1124388,0,1475379,336000,3,11704,2,1
44,1178220,2,1527117,102700,4,11705,1,2
26,1166625,0,1536721,78000,2,11705,1,2
74,456550,0,110832,138300,2,11602,1,1
54,1061875,1,1422498,880000,3,11701,1,2
59,1049274,0,1452973,32000,1,11701,1,0
25,861026,0,1005633,55000,1,11505,1,1
55,753408,0,1287474,103500,3,11503,1,2
50,641417,0,15728,39060,2,11802,1,1
31,704271,0,992908,48000,2,11505,2,1
44,536369,2,489945,170050,4,11607,1,2
43,556659,2,984844,135000,3,11615,1,1
49,542339,0,638061,243000,2,11608,1,2
40,1061756,1,1375207,92000,3,11702,2,1
62,1017331,0,1440977,452000,2,11701,1,1
72,734352,0,1116468,49000,1,11501,2,0
49,44520,0,956844,105000,4,11615,1,2
42,209981,3,728303,88300,5,11610,1,1
58,684316,0,1145597,206900,3,11504,2,1
71,78748,0,514169,55000,1,11607,1,0
31,282709,0,691693,240000,2,11609,1,2
44,994144,0,1354714,104800,3,11703,2,2
