age_of_head,building_id,children,household_id,income,persons,puma,tenure,workers
26,582598,0,1683,60100,2,11802,2,2
30,544046,0,162172,104000,1,11601,2,1
89,973545,0,1434610,18900,1,11701,2,0
49,1094326,0,1557044,80000,2,11706,2,2
54,1187570,0,1555289,105000,2,11706,1,1
42,1054630,2,1442373,60000,4,11701,1,1
88,268690,0,761089,16070,1,11611,2,0
33,555274,0,638986,40000,1,11608,3,1
74,721843,1,1112372,271300,8,11501,2,2
37,402702,3,449228,220000,5,11606,1,2
64,555081,0,486558,130000,2,11606,1,2
26,546503,0,164315,151100,1,11601,2,1
41,545334,1,888505,45000,3,11613,2,2
58,1193660,0,1600625,31000,1,11706,2,1
59,526219,0,387292,334000,2,11605,1,1
53,533578,0,300977,50000,1,11603,2,1
24,533710,0,280967,120020,1,11603,2,1
29,254745,2,953981,70400,5,11615,1,2
40,299044,2,360500,190001,4,11604,1,1
38,526091,0,322236,240000,2,11603,2,2
27,553875,0,288189,50000,2,11603,2,1
63,517124,0,620386,36000,1,11608,2,1
68,999021,1,1435697,159320,4,11701,1,3
54,304481,0,578517,514100,5,11616,1,2
59,521657,0,432873,208000,2,11605,1,0
24,680219,0,1132222,5000,2,11504,2,1
65,556363,0,869401,63600,1,11613,1,1
47,555132,0,351358,106000,1,11604,1,1
54,446636,0,792750,58900,3,11611,3,1
67,548543,0,488508,14000,3,11607,2,2
68,478523,0,841925,43030,1,11612,1,0
60,718184,0,1101064,26900,1,11501,2,0
44,130083,0,710388,177000,2,11610,2,2
24,553996,0,201451,62000,1,11601,2,1
52,832384,1,1260341,107600,4,11506,1,2
44,540384,1,864343,84000,3,11613,2,2
48,1150911,2,1462328,153300,4,11704,1,1
61,708004,0,1221582,57300,3,11506,1,3
37,771299,2,1037990,90000,4,11502,1,1
45,495749,2,257929,473000,4,11603,1,1
44,515458,0,624563,107080,2,11608,2,2
26,555703,0,597537,56000,2,11608,2,2
36,532587,0,154856,10000,1,11602,1,1
27,1172486,0,1337068,37000,1,11703,2,1
25,1114692,0,1502288,55000,1,11704,2,1
76,621310,0,20439,255200,2,11802,1,0
36,554837,0,527812,110000,1,11607,2,1
52,418037,0,609391,172600,3,11608,1,2
48,395393,2,650093,0,3,11609,1,0
50,701179,1,1227720,34000,2,11506,2,1
55,704520,1,1002319,65000,3,11505,2,1
33,516537,0,368587,56000,3,11604,2,3
76,54079,0,807657,23300,1,11612,1,1
45,1014763,0,1444584,62400,3,11701,1,2
33,544614,0,554305,95000,1,11616,2,1
